Entry	STRING_ID
P18572	10090.ENSMUSP00000070751
P15116	10090.ENSMUSP00000025166
P70407	10090.ENSMUSP00000026432
Q6X1Y6	10090.ENSMUSP00000039914
Q9QZW0	10090.ENSMUSP00000099066
P10287	10090.ENSMUSP00000079613
Q91WF3	10090.ENSMUSP00000130530
Q61072	10090.ENSMUSP00000081048
Q8R2N1	10090.ENSMUSP00000055110
P55088	10090.ENSMUSP00000078088
Q925H0	NO_STRING_ID
Q8R0I0	10090.ENSMUSP00000107890
Q8R5M8	10090.ENSMUSP00000083073
Q8CFW1	10090.ENSMUSP00000125303
P19437	10090.ENSMUSP00000126422
Q6NXK8	10090.ENSMUSP00000023758
P35329	10090.ENSMUSP00000019248
Q8R2Q8	10090.ENSMUSP00000051921
Q9R0K7	10090.ENSMUSP00000086398
P39038	10090.ENSMUSP00000000314
P08920	10090.ENSMUSP00000029456
O35598	10090.ENSMUSP00000063839
Q64343	10090.ENSMUSP00000024829
P55284	10090.ENSMUSP00000034339
Q9DBM0	10090.ENSMUSP00000035246
Q6Q477	10090.ENSMUSP00000119242
Q61451	10090.ENSMUSP00000035781
P56857	10090.ENSMUSP00000035048
Q9Z1P5	10090.ENSMUSP00000002379
P09793	10090.ENSMUSP00000027164
Q6PB70	10090.ENSMUSP00000091157
Q91VA1	10090.ENSMUSP00000007249
Q9QXA6	10090.ENSMUSP00000032703
Q6A051	10090.ENSMUSP00000076514
Q9R0Y1	10090.ENSMUSP00000029641
Q6PGD0	10090.ENSMUSP00000013766
Q8VHF2	10090.ENSMUSP00000127292
Q8BLQ9	NO_STRING_ID
E9Q7P9	10090.ENSMUSP00000043596
Q8BL00	10090.ENSMUSP00000093449
Q6H1V1	10090.ENSMUSP00000020378
P98197	10090.ENSMUSP00000088779
A2ASQ1	10090.ENSMUSP00000137931
P97445	10090.ENSMUSP00000112436
Q61490	10090.ENSMUSP00000023312
Q8VI21	NO_STRING_ID
P10852	10090.ENSMUSP00000130194
Q63994	10090.ENSMUSP00000004728
Q99PE8	10090.ENSMUSP00000069495
Q5U462	10090.ENSMUSP00000042057
Q9WTY4	10090.ENSMUSP00000127611
P70408	10090.ENSMUSP00000042199
Q9Z0F8	10090.ENSMUSP00000067953
P12023	10090.ENSMUSP00000005406
Q8C5H1	NO_STRING_ID
P25918	10090.ENSMUSP00000032968
Q6PIC6	10090.ENSMUSP00000099922
O89001	10090.ENSMUSP00000021201
P97291	10090.ENSMUSP00000117326
Q8BH79	10090.ENSMUSP00000045214
O54794	10090.ENSMUSP00000030136
Q9WV27	10090.ENSMUSP00000106874
Q9JJV4	10090.ENSMUSP00000021066
Q8VIM4	10090.ENSMUSP00000049563
Q9JL18	10090.ENSMUSP00000043918
P33146	10090.ENSMUSP00000034443
Q9JJJ3	10090.ENSMUSP00000074063
P50992	10090.ENSMUSP00000033826
Q80ZD8	10090.ENSMUSP00000102267
Q8BMK4	10090.ENSMUSP00000050336
