Entry	STRING_ID
Q60613	10090.ENSMUSP00000101060
P12657	10090.ENSMUSP00000042632
P34971	10090.ENSMUSP00000040847
P18762	10090.ENSMUSP00000062256
Q08857	10090.ENSMUSP00000131832
Q60614	10090.ENSMUSP00000018644
O08707	10090.ENSMUSP00000050119
P32299	10090.ENSMUSP00000001652
Q61618	10090.ENSMUSP00000000574
Q80TS3	10090.ENSMUSP00000113482
Q9ERK7	10090.ENSMUSP00000029562
Q8CGM1	10090.ENSMUSP00000101638
Q60748	10090.ENSMUSP00000003568
Q6QLQ4	10090.ENSMUSP00000107707
Q60612	10090.ENSMUSP00000083656
P32304	10090.ENSMUSP00000126847
Q9ERZ4	10090.ENSMUSP00000130874
Q07763	10090.ENSMUSP00000004829
P97717	10090.ENSMUSP00000070200
P36895	10090.ENSMUSP00000035900
P04760	10090.ENSMUSP00000027470
Q91ZE5	10090.ENSMUSP00000025004
P36898	10090.ENSMUSP00000029948
P42082	10090.ENSMUSP00000087047
Q61288	10090.ENSMUSP00000000542
P25962	10090.ENSMUSP00000080162
Q9R1C8	10090.ENSMUSP00000101428
P56484	10090.ENSMUSP00000038473
Q8BMN3	10090.ENSMUSP00000052297
Q80T32	10090.ENSMUSP00000060307
Q61549	10090.ENSMUSP00000083971
Q61224	10090.ENSMUSP00000086052
Q920H4	10090.ENSMUSP00000097185
P97288	10090.ENSMUSP00000027560
Q8K4F0	10090.ENSMUSP00000043551
P97714	NO_STRING_ID
P31387	10090.ENSMUSP00000057212
Q3V3Z3	10090.ENSMUSP00000074155
Q61271	10090.ENSMUSP00000000544
Q8VHN7	10090.ENSMUSP00000093245
P09690	10090.ENSMUSP00000047270
Q8VEC3	10090.ENSMUSP00000049380
P30966	10090.ENSMUSP00000038884
Q8VCH2	10090.ENSMUSP00000047022
O08786	10090.ENSMUSP00000031093
Q9JL21	10090.ENSMUSP00000062588
Q61125	10090.ENSMUSP00000045335
Q9EP73	10090.ENSMUSP00000016640
P26618	10090.ENSMUSP00000127173
P49681	10090.ENSMUSP00000046233
Q8VEZ0	10090.ENSMUSP00000071583
Q7TRF3	10090.ENSMUSP00000057469
Q8VF76	10090.ENSMUSP00000059970
Q62351	10090.ENSMUSP00000023486
O88721	10090.ENSMUSP00000033765
Q8K1S2	10090.ENSMUSP00000128521
Q8VGQ7	10090.ENSMUSP00000074825
P97751	10090.ENSMUSP00000035115
Q62312	10090.ENSMUSP00000062333
Q8VIC6	10090.ENSMUSP00000133870
Q9Z0U0	10090.ENSMUSP00000027741
Q9WUF1	10090.ENSMUSP00000071762
O70410	10090.ENSMUSP00000029406
P25446	10090.ENSMUSP00000025691
P35917	10090.ENSMUSP00000020617
Q99PG6	10090.ENSMUSP00000030792
P10761	10090.ENSMUSP00000005073
Q925D8	10090.ENSMUSP00000030949
Q8VBS7	10090.ENSMUSP00000086840
Q9EQ51	10090.ENSMUSP00000074422
Q9EQ44	10090.ENSMUSP00000100705
Q00993	10090.ENSMUSP00000002677
Q9EP51	10090.ENSMUSP00000080407
Q925I4	10090.ENSMUSP00000030510
Q8VG02	10090.ENSMUSP00000072735
Q8VG04	10090.ENSMUSP00000058931
O35235	10090.ENSMUSP00000022592
P55144	10090.ENSMUSP00000028763
Q9JKT3	10090.ENSMUSP00000044089
Q5QD10	10090.ENSMUSP00000090327
Q9EQ52	10090.ENSMUSP00000073121
Q9EQQ3	10090.ENSMUSP00000039312
O54897	10090.ENSMUSP00000098680
Q8K1S4	10090.ENSMUSP00000026994
Q9EQ47	10090.ENSMUSP00000100706
Q9EP79	NO_STRING_ID
P41588	10090.ENSMUSP00000011315
Q9QUK6	10090.ENSMUSP00000045770
Q91X56	10090.ENSMUSP00000113843
Q08351	10090.ENSMUSP00000099732
Q91ZB8	10090.ENSMUSP00000063021
Q8VF65	10090.ENSMUSP00000081812
Q2TV84	10090.ENSMUSP00000082318
Q06806	10090.ENSMUSP00000037129
Q8R2E6	NO_STRING_ID
O35305	10090.ENSMUSP00000027559
Q9EQ09	10090.ENSMUSP00000032265
Q8VFD0	10090.ENSMUSP00000071918
Q9DBX3	10090.ENSMUSP00000093197
Q5QD07	10090.ENSMUSP00000062719
Q9JJH7	10090.ENSMUSP00000009390
Q9JLL3	10090.ENSMUSP00000106865
Q6TAC4	10090.ENSMUSP00000032238
Q9D659	10090.ENSMUSP00000020301
Q8VIC9	10090.ENSMUSP00000086839
Q62463	10090.ENSMUSP00000020323
P05622	10090.ENSMUSP00000025522
Q924H0	10090.ENSMUSP00000040033
Q9EQ45	10090.ENSMUSP00000075197
Q60887	10090.ENSMUSP00000096473
O88393	10090.ENSMUSP00000031224
P35918	10090.ENSMUSP00000109144
Q9EPU5	10090.ENSMUSP00000024708
Q9EP93	10090.ENSMUSP00000075455
Q9D123	10090.ENSMUSP00000032926
Q5FWI2	10090.ENSMUSP00000072660
Q9WU02	10090.ENSMUSP00000027690
Q5QD08	10090.ENSMUSP00000071611
Q8VFB9	10090.ENSMUSP00000080602
Q8VEW6	10090.ENSMUSP00000075637
Q9QUN7	10090.ENSMUSP00000029623
Q8R4U0	10090.ENSMUSP00000048309
Q8VG05	10090.ENSMUSP00000100517
Q8VIH9	10090.ENSMUSP00000046920
P20239	10090.ENSMUSP00000033207
Q8VIC7	10090.ENSMUSP00000052123
Q9EQ48	NO_STRING_ID
P34983	10090.ENSMUSP00000072979
Q8VG03	10090.ENSMUSP00000079948
Q8VF12	10090.ENSMUSP00000071440
Q9Z0U9	10090.ENSMUSP00000085293
Q8K1S3	10090.ENSMUSP00000077080
P24063	10090.ENSMUSP00000101913
P15261	10090.ENSMUSP00000020188
Q9EPB8	10090.ENSMUSP00000063052
Q8CJH3	10090.ENSMUSP00000071966
Q8VFK2	10090.ENSMUSP00000097504
Q80UP8	10090.ENSMUSP00000065935
P34985	10090.ENSMUSP00000091388
Q8VGI5	10090.ENSMUSP00000063555
Q8VFD3	10090.ENSMUSP00000073267
O08530	10090.ENSMUSP00000050897
Q9ER62	10090.ENSMUSP00000075018
Q9QUM4	10090.ENSMUSP00000015460
Q9ET39	10090.ENSMUSP00000130610
Q8K558	10090.ENSMUSP00000024792
P60894	10090.ENSMUSP00000053837
P30558	10090.ENSMUSP00000061754
Q99KG5	10090.ENSMUSP00000001279
Q64281	10090.ENSMUSP00000101121
Q60895	10090.ENSMUSP00000077635
Q8VEX6	10090.ENSMUSP00000052477
Q5QD17	10090.ENSMUSP00000078137
P49660	10090.ENSMUSP00000105588
Q9QY00	10090.ENSMUSP00000097502
Q91V95	10090.ENSMUSP00000027083
Q18PI6	10090.ENSMUSP00000120881
Q8K299	10090.ENSMUSP00000022610
Q91VH1	10090.ENSMUSP00000107856
Q91WW2	10090.ENSMUSP00000084327
Q8VG06	10090.ENSMUSP00000061188
Q8BX43	10090.ENSMUSP00000008462
Q61038	10090.ENSMUSP00000074581
Q9JKE1	10090.ENSMUSP00000044478
Q5QD12	10090.ENSMUSP00000077616
Q7TQQ0	10090.ENSMUSP00000046688
Q60880	10090.ENSMUSP00000100847
Q7M720	10090.ENSMUSP00000093044
P59529	10090.ENSMUSP00000053700
Q8R183	10090.ENSMUSP00000104848
Q60884	10090.ENSMUSP00000073352
Q8VEX5	10090.ENSMUSP00000056448
Q60878	10090.ENSMUSP00000107131
Q9DBN1	10090.ENSMUSP00000103412
Q9JJL9	10090.ENSMUSP00000048358
O70491	10090.ENSMUSP00000034880
Q8BZ39	10090.ENSMUSP00000044718
P32507	10090.ENSMUSP00000074898
Q6TCG5	10090.ENSMUSP00000114166
Q03391	10090.ENSMUSP00000002848
P35436	10090.ENSMUSP00000111501
P35375	10090.ENSMUSP00000019608
Q60885	10090.ENSMUSP00000089622
Q9Z0W1	10090.ENSMUSP00000000122
Q61009	10090.ENSMUSP00000083242
P43406	10090.ENSMUSP00000028499
Q6IYF8	10090.ENSMUSP00000055137
Q8VG42	10090.ENSMUSP00000072686
Q8VBV9	10090.ENSMUSP00000058085
Q9Z0L1	10090.ENSMUSP00000050412
Q8BX79	10090.ENSMUSP00000066449
P58307	10090.ENSMUSP00000112630
Q8VFV4	10090.ENSMUSP00000054798
O88416	10090.ENSMUSP00000048059
P26952	10090.ENSMUSP00000088079
Q8VG44	10090.ENSMUSP00000081816
P30987	10090.ENSMUSP00000100962
Q8BZL4	10090.ENSMUSP00000056125
Q9CYN9	10090.ENSMUSP00000033313
P35969	10090.ENSMUSP00000031653
Q6PHU5	10090.ENSMUSP00000099692
Q3LRV9	10090.ENSMUSP00000118772
P30873	10090.ENSMUSP00000106299
P30935	10090.ENSMUSP00000058040
Q6SJE0	10090.ENSMUSP00000074421
P70424	10090.ENSMUSP00000053897
Q6NS65	10090.ENSMUSP00000063670
Q5U431	10090.ENSMUSP00000027581
O35664	10090.ENSMUSP00000023693
Q8VEW5	10090.ENSMUSP00000079005
O88634	10090.ENSMUSP00000054426
P58308	10090.ENSMUSP00000058230
P52592	10090.ENSMUSP00000053394
Q8CIP3	10090.ENSMUSP00000091954
Q8VG43	10090.ENSMUSP00000081815
B1AUH1	10090.ENSMUSP00000030741
Q923Y8	10090.ENSMUSP00000049527
Q5QD15	10090.ENSMUSP00000090330
E9Q6I0	10090.ENSMUSP00000128106
Q8VFC9	10090.ENSMUSP00000055931
Q8VFL9	10090.ENSMUSP00000097463
Q64729	10090.ENSMUSP00000007757
P30875	10090.ENSMUSP00000138101
Q91ZB7	10090.ENSMUSP00000058000
Q5QD14	10090.ENSMUSP00000090329
Q9R0M1	10090.ENSMUSP00000138255
Q60888	10090.ENSMUSP00000080686
Q02858	10090.ENSMUSP00000099862
Q91ZZ5	10090.ENSMUSP00000067897
O08858	10090.ENSMUSP00000051085
O08747	10090.ENSMUSP00000101843
Q8VFX2	10090.ENSMUSP00000062460
Q2LA85	10090.ENSMUSP00000128215
Q61121	10090.ENSMUSP00000047630
Q60886	10090.ENSMUSP00000051933
Q7TR96	10090.ENSMUSP00000068173
P41593	10090.ENSMUSP00000006005
Q99NH8	10090.ENSMUSP00000024791
P47750	10090.ENSMUSP00000021346
Q9EQ46	10090.ENSMUSP00000074655
Q91WW4	NO_STRING_ID
Q3UG50	10090.ENSMUSP00000127022
Q60882	10090.ENSMUSP00000083229
Q8BYC4	10090.ENSMUSP00000063910
O89026	10090.ENSMUSP00000023600
Q91ZC6	NO_STRING_ID
Q61115	10090.ENSMUSP00000021921
Q9Z138	10090.ENSMUSP00000021918
P31695	10090.ENSMUSP00000015612
Q8VFL5	10090.ENSMUSP00000053309
Q99MT8	10090.ENSMUSP00000074768
Q5QD11	10090.ENSMUSP00000090328
Q5QD09	10090.ENSMUSP00000090326
Q5QD05	10090.ENSMUSP00000133193
Q9EPW9	10090.ENSMUSP00000062096
Q9JKX3	10090.ENSMUSP00000031729
Q8VGR9	10090.ENSMUSP00000097490
Q60879	10090.ENSMUSP00000097728
Q8BGE9	10090.ENSMUSP00000062741
Q7TQP4	10090.ENSMUSP00000058732
B0V2N1	10090.ENSMUSP00000064048
Q5QD16	10090.ENSMUSP00000036817
Q5QD13	10090.ENSMUSP00000097603
O08675	10090.ENSMUSP00000022182
Q80UG2	10090.ENSMUSP00000110748
P35438	10090.ENSMUSP00000028335
Q8VF13	10090.ENSMUSP00000100846
B6A8R8	10090.ENSMUSP00000069745
Q3UFB7	10090.ENSMUSP00000029712
P56450	10090.ENSMUSP00000054776
Q01727	10090.ENSMUSP00000095929
B2RXS4	10090.ENSMUSP00000051731
Q8C567	10090.ENSMUSP00000006792
Q91ZC7	NO_STRING_ID
Q60893	10090.ENSMUSP00000100468
Q8BHL4	10090.ENSMUSP00000061062
P21761	10090.ENSMUSP00000036320
Q9EPQ1	10090.ENSMUSP00000060793
Q60881	10090.ENSMUSP00000097341
Q5QD04	10090.ENSMUSP00000043552
Q99MT6	10090.ENSMUSP00000029326
O35714	10090.ENSMUSP00000099462
Q62035	10090.ENSMUSP00000070925
Q61041	10090.ENSMUSP00000056576
P25118	10090.ENSMUSP00000032491
P27512	10090.ENSMUSP00000017799
Q91ZC4	NO_STRING_ID
Q91WW5	10090.ENSMUSP00000129978
Q91ZB5	10090.ENSMUSP00000060411
Q8VF66	10090.ENSMUSP00000075122
P35383	10090.ENSMUSP00000036765
P43252	10090.ENSMUSP00000122080
Q9D8I2	10090.ENSMUSP00000044730
Q8VGR8	10090.ENSMUSP00000058454
P83861	10090.ENSMUSP00000088768
Q5QD06	10090.ENSMUSP00000090324
Q6R6I7	10090.ENSMUSP00000077611
Q60846	10090.ENSMUSP00000030339
Q61212	10090.ENSMUSP00000040797
Q8VCJ6	10090.ENSMUSP00000033386
P97295	10090.ENSMUSP00000029633
P70208	10090.ENSMUSP00000004326
Q8VBT3	10090.ENSMUSP00000041306
Q9ERK9	10090.ENSMUSP00000055697
P15209	10090.ENSMUSP00000078757
Q8VG13	10090.ENSMUSP00000078926
Q9Z0D9	10090.ENSMUSP00000063986
Q9R1K6	10090.ENSMUSP00000042715
Q9Z2B1	10090.ENSMUSP00000027237
P30549	10090.ENSMUSP00000020278
P33534	10090.ENSMUSP00000027038
P47937	10090.ENSMUSP00000029822
P70205	10090.ENSMUSP00000063784
Q8BG84	10090.ENSMUSP00000083589
Q60751	10090.ENSMUSP00000005671
Q9JIP3	10090.ENSMUSP00000016110
A2ARI4	10090.ENSMUSP00000047325
P05532	10090.ENSMUSP00000005815
Q64018	10090.ENSMUSP00000099777
P15208	10090.ENSMUSP00000088837
Q3U507	10090.ENSMUSP00000098852
Q01776	10090.ENSMUSP00000031172
P0C5J4	NO_STRING_ID
Q9EQ31	10090.ENSMUSP00000037712
Q8VI56	10090.ENSMUSP00000028689
Q91ZY2	10090.ENSMUSP00000041061
P26049	10090.ENSMUSP00000062638
A4FUQ5	10090.ENSMUSP00000093311
Q61091	10090.ENSMUSP00000039660
Q61006	10090.ENSMUSP00000081625
Q61727	10090.ENSMUSP00000034594
Q8JZL1	10090.ENSMUSP00000036076
Q8CJC7	10090.ENSMUSP00000055779
Q7TSN2	10090.ENSMUSP00000090121
O88410	10090.ENSMUSP00000052444
Q8VCK6	10090.ENSMUSP00000052600
P16092	10090.ENSMUSP00000081041
Q03146	10090.ENSMUSP00000113062
P62812	10090.ENSMUSP00000020707
Q2TB54	10090.ENSMUSP00000108096
P48302	10090.ENSMUSP00000126057
P54761	10090.ENSMUSP00000106684
Q920A1	10090.ENSMUSP00000040715
P23818	10090.ENSMUSP00000044494
Q8C206	10090.ENSMUSP00000092020
Q9R216	10090.ENSMUSP00000053551
Q01114	10090.ENSMUSP00000119557
Q91V45	10090.ENSMUSP00000040516
Q9JIP6	10090.ENSMUSP00000091463
Q60651	10090.ENSMUSP00000114004
Q60682	10090.ENSMUSP00000014476
P47774	10090.ENSMUSP00000099423
Q3UVY1	10090.ENSMUSP00000060893
Q61625	10090.ENSMUSP00000093536
Q8BMF5	10090.ENSMUSP00000110515
Q7TSA3	10090.ENSMUSP00000099866
Q5IXF8	10090.ENSMUSP00000061560
Q8BG55	10090.ENSMUSP00000082115
P43142	10090.ENSMUSP00000100882
P61168	10090.ENSMUSP00000075170
Q8BLD9	10090.ENSMUSP00000039691
Q9JHJ5	10090.ENSMUSP00000008734
P30728	10090.ENSMUSP00000023390
Q8K3J9	10090.ENSMUSP00000061760
P51436	10090.ENSMUSP00000026569
O88537	10090.ENSMUSP00000071179
P50571	10090.ENSMUSP00000031122
Q91XP5	10090.ENSMUSP00000000275
Q60750	10090.ENSMUSP00000073099
Q8VGI6	10090.ENSMUSP00000091654
Q60889	10090.ENSMUSP00000083498
Q8VBW9	10090.ENSMUSP00000067207
Q8BNJ6	10090.ENSMUSP00000105308
Q9JHB2	10090.ENSMUSP00000053393
Q60890	10090.ENSMUSP00000043099
Q8VFD1	NO_STRING_ID
Q60883	10090.ENSMUSP00000139744
P23275	10090.ENSMUSP00000079720
Q0VAX9	10090.ENSMUSP00000083664
Q8VGI1	10090.ENSMUSP00000113707
Q62132	10090.ENSMUSP00000064392
Q7TS48	10090.ENSMUSP00000128358
Q60894	10090.ENSMUSP00000080027
Q78DX7	10090.ENSMUSP00000020045
O70342	10090.ENSMUSP00000065157
Q8VES2	10090.ENSMUSP00000052861
P34986	10090.ENSMUSP00000048740
Q8R4I7	10090.ENSMUSP00000057340
Q9JJS7	10090.ENSMUSP00000055869
Q61982	10090.ENSMUSP00000085016
Q8VEY3	10090.ENSMUSP00000049930
P33896	10090.ENSMUSP00000023689
Q8VFK7	10090.ENSMUSP00000058242
P51676	10090.ENSMUSP00000071353
A2ARV4	10090.ENSMUSP00000079752
Q8VG07	10090.ENSMUSP00000072810
Q8VEW2	10090.ENSMUSP00000074343
Q8VGS3	10090.ENSMUSP00000099694
Q9Z2J6	10090.ENSMUSP00000036159
Q9JKL1	10090.ENSMUSP00000059034
Q3KNA1	10090.ENSMUSP00000061878
Q62053	10090.ENSMUSP00000038483
Q9QXZ9	10090.ENSMUSP00000022331
P70310	10090.ENSMUSP00000106693
Q62028	10090.ENSMUSP00000108144
Q8VFD2	10090.ENSMUSP00000074137
P0C191	10090.ENSMUSP00000104231
Q8K5B1	10090.ENSMUSP00000058045
P41149	10090.ENSMUSP00000130497
P08923	10090.ENSMUSP00000028759
Q8VGS1	NO_STRING_ID
Q6W049	10090.ENSMUSP00000095758
Q91ZU9	10090.ENSMUSP00000048576
P32240	10090.ENSMUSP00000048736
Q8BFQ3	10090.ENSMUSP00000105693
Q9Z1M0	10090.ENSMUSP00000098303
P49650	10090.ENSMUSP00000029331
P61793	10090.ENSMUSP00000052581
P30554	10090.ENSMUSP00000086409
O35516	10090.ENSMUSP00000078741
Q60892	10090.ENSMUSP00000080282
Q61606	10090.ENSMUSP00000026119
Q91WW3	10090.ENSMUSP00000135437
Q9WUP1	10090.ENSMUSP00000047518
Q9QY40	10090.ENSMUSP00000002079
Q61830	10090.ENSMUSP00000028045
Q8BQS5	10090.ENSMUSP00000032272
Q04573	10090.ENSMUSP00000045530
Q8K458	10090.ENSMUSP00000056659
P34984	10090.ENSMUSP00000053813
Q8VFM9	10090.ENSMUSP00000064189
Q01098	10090.ENSMUSP00000102164
Q3UH93	10090.ENSMUSP00000015511
Q8VFK1	10090.ENSMUSP00000061475
P16297	10090.ENSMUSP00000086820
P42703	10090.ENSMUSP00000126137
Q91ZX7	10090.ENSMUSP00000044004
Q8VG09	10090.ENSMUSP00000077963
Q8BFU7	10090.ENSMUSP00000061296
Q8CIQ6	10090.ENSMUSP00000053086
P42866	10090.ENSMUSP00000101236
P35377	10090.ENSMUSP00000071513
Q8R493	10090.ENSMUSP00000034854
P97792	10090.ENSMUSP00000023572
Q61086	10090.ENSMUSP00000115325
P35412	10090.ENSMUSP00000038245
P58406	10090.ENSMUSP00000049963
O55040	10090.ENSMUSP00000027440
A2A7V7	10090.ENSMUSP00000090123
Q8C010	10090.ENSMUSP00000055557
O54709	10090.ENSMUSP00000032252
Q9ES57	10090.ENSMUSP00000053822
Q01097	10090.ENSMUSP00000062284
Q6YNI2	10090.ENSMUSP00000057323
Q61088	10090.ENSMUSP00000049852
Q9JIL6	10090.ENSMUSP00000107553
O54890	10090.ENSMUSP00000021028
Q9CPV9	10090.ENSMUSP00000051353
Q9ES90	10090.ENSMUSP00000126914
Q9JKF6	10090.ENSMUSP00000034510
Q9WUL5	10090.ENSMUSP00000108195
O54799	10090.ENSMUSP00000020015
Q9EQQ4	10090.ENSMUSP00000135986
Q60629	10090.ENSMUSP00000060646
Q8JZL2	10090.ENSMUSP00000126191
Q99JA4	10090.ENSMUSP00000109108
P54754	10090.ENSMUSP00000006112
O88854	10090.ENSMUSP00000054062
Q8BYG9	NO_STRING_ID
Q61730	NO_STRING_ID
Q62470	10090.ENSMUSP00000001548
P48356	10090.ENSMUSP00000037385
Q60943	10090.ENSMUSP00000002976
Q8BH06	10090.ENSMUSP00000062103
Q3UVD5	10090.ENSMUSP00000035444
Q3U6B2	10090.ENSMUSP00000052404
Q61603	10090.ENSMUSP00000018739
O09047	10090.ENSMUSP00000048092
P97772	10090.ENSMUSP00000037255
P70174	10090.ENSMUSP00000086383
Q5DT36	10090.ENSMUSP00000052805
Q3UWA6	10090.ENSMUSP00000032338
O35659	10090.ENSMUSP00000110221
Q1ERP8	10090.ENSMUSP00000102782
P83555	10090.ENSMUSP00000108729
Q8BMC0	10090.ENSMUSP00000042327
Q00560	10090.ENSMUSP00000138836
Q9Z1P4	10090.ENSMUSP00000020350
Q8BZA7	10090.ENSMUSP00000041664
O54707	10090.ENSMUSP00000107694
Q68SN8	10090.ENSMUSP00000050151
Q80WT4	10090.ENSMUSP00000037586
Q8K087	10090.ENSMUSP00000051417
Q7TQP0	10090.ENSMUSP00000066921
Q80SS6	10090.ENSMUSP00000077135
Q8K4B4	10090.ENSMUSP00000113342
P59823	10090.ENSMUSP00000109599
P34902	10090.ENSMUSP00000033664
Q8BLG2	10090.ENSMUSP00000053986
Q3UFD7	10090.ENSMUSP00000092163
P20491	10090.ENSMUSP00000078875
Q99JG2	10090.ENSMUSP00000027682
Q60934	10090.ENSMUSP00000072107
P21729	10090.ENSMUSP00000033730
Q03145	10090.ENSMUSP00000006614
Q8BZR0	10090.ENSMUSP00000062535
Q3UR32	10090.ENSMUSP00000028465
O88495	10090.ENSMUSP00000064608
Q8BZP8	10090.ENSMUSP00000056432
Q91ZC5	NO_STRING_ID
Q80ZE4	10090.ENSMUSP00000080240
Q6TCG2	10090.ENSMUSP00000078547
Q80ZE5	10090.ENSMUSP00000141054
P30557	10090.ENSMUSP00000043302
P32300	10090.ENSMUSP00000050077
Q61184	10090.ENSMUSP00000069872
Q9DCU0	10090.ENSMUSP00000034817
P70263	10090.ENSMUSP00000093653
P55086	10090.ENSMUSP00000022185
