Symbol,Transcript/RepeatID,ys_10.5_dispo_1 (14.92),ys_10.5_dispo_2 (13.67),ys_11.5_dispo_1 (11.06),ys_11.5_dispo_2 (10.83),YS_12.5_new_dispomix_2 (5.65),YS_12.5_new_dispomix_3 (3.56),ys_13.5_dispo_1 (7.37),ys_13.5_dispo_2 (10.25),Brain_10.5_1 (20.60),Brain_10.5_2 (21.08),day11.5_brain_1 (2.85),day11.5_brain_2 (2.13),BRAIN_12_5_a (1.78),BRAIN_12_5_b (2.08),mic_E13_5 (4.23),mic_E14_5 (3.45),mic_E16_5_a (6.19),mic_E16_5_b (6.87),mic_day3_a (4.42),mic_day3_b (4.30),mic_day6_a (4.08),mic_day6_c (3.96),mic_day9_b (4.94),mic_day9_c (4.13),SC_a (5.83),SC_b (5.77),cortex_a (5.78),cortex_b (5.21),hipo_a (6.95),hipo_b (5.02)
Fam227b,NM_029455,0,0,11.059,0,0,3.556,0,0,0,0,0,4.264,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Efhd1,NM_028889,0,0,0,0,0,0,0,0,0,21.077,0,0,0,0,4.228,0,0,0,8.841,0,4.076,0,0,0,0,23.08,5.777,5.209,20.862,0
Tmbim1,NM_027154,462.375,382.735,254.346,205.802,672.888,512.072,575.195,512.459,432.687,358.315,435.765,550.108,626.239,611.007,384.708,420.554,253.944,391.868,260.813,326.668,317.922,190.244,172.749,173.39,437.255,357.747,433.284,395.88,528.509,457.075
Fam175a,NM_172405,74.577,95.684,121.644,97.485,79.163,81.789,95.866,40.997,123.625,84.309,148.103,106.61,78.503,70.661,67.641,62.049,49.55,54.999,61.888,64.474,81.519,91.158,44.421,115.593,69.961,173.104,69.325,41.672,125.173,70.319
Rhbdd1,NM_029777,44.746,27.338,66.351,64.99,84.818,74.677,117.989,102.492,61.812,21.077,45.57,49.041,51.741,37.409,101.461,79.285,55.744,89.373,114.935,55.877,163.037,110.975,118.457,78.438,40.81,57.701,259.97,130.224,69.541,175.798
Olfr955,NM_207141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.841,4.298,0,0,0,0,0,0,0,0,0,0
Mgat4c,NM_001162368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.421,0,0,0,0,0,0,0,0,0,0,0
Lgi2,NM_001310604,0,0,0,0,5.655,0,14.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.128,0,0,0,0,0,0
Zhx2,NM_199449,0,0,0,0,5.655,0,7.374,0,0,0,2.848,4.264,1.784,4.157,8.455,6.894,6.194,6.875,4.421,4.298,0,0,9.871,16.513,5.83,0,23.108,0,34.77,5.023
Best3,NM_001007583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
