name_a	name_b	item_id_a	item_id_b	mode	score	gene_id_a	gene_id_b	experimental_score
Cxcl12	Itgav	10090.ENSMUSP00000072800	10090.ENSMUSP00000028499	binding	701	ENSMUSG00000061353	ENSMUSG00000027087	10
Cxcl12	Itgb3	10090.ENSMUSP00000072800	10090.ENSMUSP00000021028	binding	701	ENSMUSG00000061353	ENSMUSG00000020689	10
Cxcl12	Itga4	10090.ENSMUSP00000072800	10090.ENSMUSP00000099718	binding	701	ENSMUSG00000061353	ENSMUSG00000027009	10
Cxcl12	Itgb1	10090.ENSMUSP00000072800	10090.ENSMUSP00000087457	binding	701	ENSMUSG00000061353	ENSMUSG00000025809	10
Cxcl12	Itga5	10090.ENSMUSP00000072800	10090.ENSMUSP00000023128	binding	701	ENSMUSG00000061353	ENSMUSG00000000555	10
Mif	Mif	10090.ENSMUSP00000041149	10090.ENSMUSP00000041149	binding	701	ENSMUSG00000033307	ENSMUSG00000033307	10
Mif	Bnipl	10090.ENSMUSP00000041149	10090.ENSMUSP00000102813	binding	701	ENSMUSG00000033307	ENSMUSG00000028115	10
Mif	Cd47	10090.ENSMUSP00000041149	10090.ENSMUSP00000099853	binding	701	ENSMUSG00000033307	ENSMUSG00000055447	10
Mif	Cops5	10090.ENSMUSP00000041149	10090.ENSMUSP00000027050	binding	701	ENSMUSG00000033307	ENSMUSG00000025917	10
Mif	Cxcr2	10090.ENSMUSP00000041149	10090.ENSMUSP00000102512	binding	701	ENSMUSG00000033307	ENSMUSG00000026180	10
Gpi1	Gpi1	10090.ENSMUSP00000049355	10090.ENSMUSP00000049355	binding	701	ENSMUSG00000036427	ENSMUSG00000036427	10
Gpi1	Parp14	10090.ENSMUSP00000049355	10090.ENSMUSP00000037657	binding	701	ENSMUSG00000036427	ENSMUSG00000034422	10
Cx3cl1	Cx3Cl1	10090.ENSMUSP00000034230	10090.ENSMUSP00000034230	binding	701	ENSMUSG00000031778	ENSMUSG00000031778	10
Cx3cl1	Itgav	10090.ENSMUSP00000034230	10090.ENSMUSP00000028499	binding	701	ENSMUSG00000031778	ENSMUSG00000027087	10
Cx3cl1	Itgb3	10090.ENSMUSP00000034230	10090.ENSMUSP00000021028	binding	701	ENSMUSG00000031778	ENSMUSG00000020689	10
Cx3cl1	Itga4	10090.ENSMUSP00000034230	10090.ENSMUSP00000099718	binding	701	ENSMUSG00000031778	ENSMUSG00000027009	10
Cx3cl1	Itgb1	10090.ENSMUSP00000034230	10090.ENSMUSP00000087457	binding	701	ENSMUSG00000031778	ENSMUSG00000025809	10
Aimp1	Aimp1	10090.ENSMUSP00000029663	10090.ENSMUSP00000029663	binding	701	ENSMUSG00000028029	ENSMUSG00000028029	10
Aimp1	Smurf2	10090.ENSMUSP00000029663	10090.ENSMUSP00000090177	binding	701	ENSMUSG00000028029	ENSMUSG00000018363	10
Aimp1	Hif1A	10090.ENSMUSP00000029663	10090.ENSMUSP00000021530	binding	701	ENSMUSG00000028029	ENSMUSG00000021109	10
Aimp1	Psma7	10090.ENSMUSP00000029663	10090.ENSMUSP00000029082	binding	701	ENSMUSG00000028029	ENSMUSG00000027566	10
Aimp1	Rars	10090.ENSMUSP00000029663	10090.ENSMUSP00000018992	binding	701	ENSMUSG00000028029	ENSMUSG00000018848	10
Aimp1	Dars	10090.ENSMUSP00000029663	10090.ENSMUSP00000027602	binding	701	ENSMUSG00000028029	ENSMUSG00000026356	10
Aimp1	Qars	10090.ENSMUSP00000029663	10090.ENSMUSP00000006838	binding	701	ENSMUSG00000028029	ENSMUSG00000032604	10
Aimp1	Iars	10090.ENSMUSP00000029663	10090.ENSMUSP00000132082	binding	701	ENSMUSG00000028029	ENSMUSG00000037851	10
Aimp1	Lars	10090.ENSMUSP00000029663	10090.ENSMUSP00000095197	binding	701	ENSMUSG00000028029	ENSMUSG00000024493	10
Aimp1	Kars1	10090.ENSMUSP00000029663	10090.ENSMUSP00000126268	binding	701	ENSMUSG00000028029	ENSMUSG00000031948	10
Aimp1	Mars	10090.ENSMUSP00000029663	10090.ENSMUSP00000037446	binding	701	ENSMUSG00000028029	ENSMUSG00000040354	10
Aimp1	Eprs	10090.ENSMUSP00000029663	10090.ENSMUSP00000045841	binding	701	ENSMUSG00000028029	ENSMUSG00000026615	10
Aimp1	P38	10090.ENSMUSP00000029663	10090.ENSMUSP00000004990	binding	701	ENSMUSG00000028029	ENSMUSG00000053436	10
Aimp1	Aimp2	10090.ENSMUSP00000029663	10090.ENSMUSP00000031613	binding	701	ENSMUSG00000028029	ENSMUSG00000029610	10
Aimp1	Eef1E1	10090.ENSMUSP00000029663	10090.ENSMUSP00000001757	binding	701	ENSMUSG00000028029	ENSMUSG00000001707	10
Aimp1	P18	10090.ENSMUSP00000029663	10090.ENSMUSP00000030636	binding	701	ENSMUSG00000028029	ENSMUSG00000028832	10
