Entry	STRING_ID
Q91ZF2	10090.ENSMUSP00000021892
P97857	10090.ENSMUSP00000023610
O88992	10090.ENSMUSP00000050469
Q640N1	10090.ENSMUSP00000099987
P26339	10090.ENSMUSP00000021610
P12961	10090.ENSMUSP00000024005
P06684	10090.ENSMUSP00000028233
Q61362	10090.ENSMUSP00000080717
Q00623	10090.ENSMUSP00000034588
P08226	10090.ENSMUSP00000133302
Q9JHE3	10090.ENSMUSP00000093830
P58242	10090.ENSMUSP00000030709
Q9R001	10090.ENSMUSP00000023611
Q9R229	10090.ENSMUSP00000032125
P07724	10090.ENSMUSP00000031314
O70456	10090.ENSMUSP00000050374
Q9WV54	10090.ENSMUSP00000034000
P70158	10090.ENSMUSP00000020022
Q99JA0	NO_STRING_ID
Q9JKC0	10090.ENSMUSP00000004936
Q8R0I0	10090.ENSMUSP00000107890
P70343	10090.ENSMUSP00000027012
Q04519	10090.ENSMUSP00000042187
Q9QZM3	10090.ENSMUSP00000045562
P97766	10090.ENSMUSP00000027298
P10107	10090.ENSMUSP00000025561
Q61129	10090.ENSMUSP00000077074
P59509	10090.ENSMUSP00000050535
Q9Z0L2	10090.ENSMUSP00000064521
Q9D1D6	10090.ENSMUSP00000070018
P19228	10090.ENSMUSP00000092225
Q8BZQ2	10090.ENSMUSP00000122962
Q04857	10090.ENSMUSP00000001147
Q8CFR0	10090.ENSMUSP00000037257
Q8BQ47	10090.ENSMUSP00000106559
P27784	10090.ENSMUSP00000019071
Q9R0X2	10090.ENSMUSP00000022641
Q8CF31	NO_STRING_ID
Q8K2W9	10090.ENSMUSP00000022786
Q4VC17	10090.ENSMUSP00000090801
P70389	10090.ENSMUSP00000060169
Q9Z0H6	10090.ENSMUSP00000028935
Q7TSK7	10090.ENSMUSP00000088774
Q9DAY5	10090.ENSMUSP00000125970
Q9ESN4	10090.ENSMUSP00000056188
Q9DAN8	10090.ENSMUSP00000126008
Q8VII3	10090.ENSMUSP00000028933
Q3UR78	10090.ENSMUSP00000092467
Q9D8U4	10090.ENSMUSP00000051652
Q6GQT1	10090.ENSMUSP00000032203
Q8K479	10090.ENSMUSP00000110464
Q8BNJ2	10090.ENSMUSP00000006570
Q8BHE5	10090.ENSMUSP00000031278
Q9D0L4	10090.ENSMUSP00000127254
Q8C1A9	10090.ENSMUSP00000124430
Q8BVD7	10090.ENSMUSP00000113520
Q80T21	10090.ENSMUSP00000015994
Q8BX37	10090.ENSMUSP00000045437
P83714	10090.ENSMUSP00000075459
Q9JI81	10090.ENSMUSP00000021891
O55226	10090.ENSMUSP00000047844
Q80ZN5	10090.ENSMUSP00000036005
Q61147	10090.ENSMUSP00000088857
Q60571	10090.ENSMUSP00000042578
Q9QXP7	10090.ENSMUSP00000017590
Q8C9W3	10090.ENSMUSP00000040171
P10605	10090.ENSMUSP00000006235
P12399	10090.ENSMUSP00000021880
P07356	10090.ENSMUSP00000034756
P10598	10090.ENSMUSP00000080976
Q8BQH6	10090.ENSMUSP00000061401
P21275	10090.ENSMUSP00000073720
Q91XA9	10090.ENSMUSP00000078134
P14847	10090.ENSMUSP00000044665
Q69Z26	10090.ENSMUSP00000108886
P61110	10090.ENSMUSP00000041060
Q9Z0E2	10090.ENSMUSP00000007171
P59511	10090.ENSMUSP00000036330
Q63805	10090.ENSMUSP00000006687
P32261	10090.ENSMUSP00000068971
E9Q414	10090.ENSMUSP00000036044
Q00897	10090.ENSMUSP00000077909
Q9WV56	10090.ENSMUSP00000098286
Q6Q473	10090.ENSMUSP00000029923
P86793	NO_STRING_ID
Q8BIS8	10090.ENSMUSP00000058077
Q5U901	10090.ENSMUSP00000035435
P06909	10090.ENSMUSP00000107607
Q8BTC1	NO_STRING_ID
E9Q7T7	10090.ENSMUSP00000072682
Q9D269	10090.ENSMUSP00000028934
Q9Z0L4	10090.ENSMUSP00000024049
P10148	10090.ENSMUSP00000000193
P00688	10090.ENSMUSP00000137025
Q9ES30	10090.ENSMUSP00000106152
Q9D3J8	10090.ENSMUSP00000073081
Q8R1Q3	10090.ENSMUSP00000030840
Q6DFY8	10090.ENSMUSP00000004133
Q3U962	10090.ENSMUSP00000083620
P16563	10090.ENSMUSP00000024724
Q9Z0F8	10090.ENSMUSP00000067953
O89093	10090.ENSMUSP00000109064
P12023	10090.ENSMUSP00000005406
O35658	10090.ENSMUSP00000077612
Q769J6	10090.ENSMUSP00000099955
Q8VEJ3	10090.ENSMUSP00000033936
Q9JHH5	NO_STRING_ID
Q504N0	10090.ENSMUSP00000093771
Q9QZR9	10090.ENSMUSP00000084282
P98063	10090.ENSMUSP00000022693
Q8VHN7	10090.ENSMUSP00000093245
Q99LS0	10090.ENSMUSP00000027217
P34821	10090.ENSMUSP00000037779
O35887	10090.ENSMUSP00000031779
P17515	10090.ENSMUSP00000047646
P50706	NO_STRING_ID
Q61114	10090.ENSMUSP00000080501
O89020	10090.ENSMUSP00000108804
Q6IR41	10090.ENSMUSP00000023075
Q91V80	10090.ENSMUSP00000050300
P21274	10090.ENSMUSP00000028836
P05125	10090.ENSMUSP00000099520
Q69Z28	10090.ENSMUSP00000079041
Q3UPY5	10090.ENSMUSP00000047128
Q9Z100	10090.ENSMUSP00000028897
Q3UST5	10090.ENSMUSP00000058860
Q8BU51	10090.ENSMUSP00000086347
P03953	10090.ENSMUSP00000056836
P18242	10090.ENSMUSP00000121203
P06796	10090.ENSMUSP00000108896
Q8CC36	10090.ENSMUSP00000046297
Q8CJ69	10090.ENSMUSP00000071872
Q64299	10090.ENSMUSP00000054389
P29268	10090.ENSMUSP00000020171
Q00896	10090.ENSMUSP00000073695
Q00898	10090.ENSMUSP00000082130
Q6RKD8	10090.ENSMUSP00000109010
Q9WUQ5	10090.ENSMUSP00000021970
O35181	10090.ENSMUSP00000136884
O09164	10090.ENSMUSP00000098768
Q80YX1	10090.ENSMUSP00000102995
Q61711	10090.ENSMUSP00000031246
Q9JIQ8	10090.ENSMUSP00000000395
O88968	10090.ENSMUSP00000105620
J3S6Y1	10090.ENSMUSP00000090022
P12656	10090.ENSMUSP00000029450
Q8K0C5	10090.ENSMUSP00000056916
P62960	10090.ENSMUSP00000078589
P35456	10090.ENSMUSP00000002284
P29788	10090.ENSMUSP00000017488
Q3UZZ4	10090.ENSMUSP00000086112
E1U8D0	10090.ENSMUSP00000066556
P04918	10090.ENSMUSP00000006956
Q8BV57	10090.ENSMUSP00000052126
Q62005	10090.ENSMUSP00000025641
Q8C5G2	10090.ENSMUSP00000036768
P49766	10090.ENSMUSP00000025914
O54819	10090.ENSMUSP00000107347
A1L0T3	10090.ENSMUSP00000106782
Q9WUA1	10090.ENSMUSP00000020439
Q2QI47	10090.ENSMUSP00000050454
Q9QZQ3	10090.ENSMUSP00000030803
P97953	10090.ENSMUSP00000033919
Q62471	10090.ENSMUSP00000028304
O88452	10090.ENSMUSP00000020546
Q6X786	10090.ENSMUSP00000017339
Q9D7D2	10090.ENSMUSP00000058535
Q03517	10090.ENSMUSP00000062556
P48614	10090.ENSMUSP00000023732
Q6DFV8	10090.ENSMUSP00000058110
P10761	10090.ENSMUSP00000005073
Q00519	10090.ENSMUSP00000024866
Q64726	10090.ENSMUSP00000038559
Q8R2Z5	10090.ENSMUSP00000040405
Q5DQQ6	10090.ENSMUSP00000085594
Q9DAU7	10090.ENSMUSP00000017867
P04426	10090.ENSMUSP00000023734
P81615	10090.ENSMUSP00000035321
Q8R0A6	10090.ENSMUSP00000105272
O08970	10090.ENSMUSP00000006123
P97946	10090.ENSMUSP00000033751
Q8VHI5	10090.ENSMUSP00000024880
Q00731	10090.ENSMUSP00000115883
Q62472	10090.ENSMUSP00000028283
Q70UZ7	10090.ENSMUSP00000026068
O35188	10090.ENSMUSP00000034230
Q9Z273	10090.ENSMUSP00000049070
Q9EPS2	10090.ENSMUSP00000017455
P0C7W3	NO_STRING_ID
O35235	10090.ENSMUSP00000022592
Q9R1B9	10090.ENSMUSP00000127615
P22727	10090.ENSMUSP00000006716
Q9ESH5	10090.ENSMUSP00000024107
P97497	10090.ENSMUSP00000005334
P46686	10090.ENSMUSP00000103391
Q8CBR6	10090.ENSMUSP00000091713
Q62522	10090.ENSMUSP00000020413
Q9CQD7	10090.ENSMUSP00000011776
Q0VGU4	10090.ENSMUSP00000140815
A9Z1V5	10090.ENSMUSP00000030533
Q9EPL6	10090.ENSMUSP00000047261
Q8BU25	10090.ENSMUSP00000028612
P00683	10090.ENSMUSP00000079025
Q5GAM9	10090.ENSMUSP00000075472
Q9JHY4	10090.ENSMUSP00000105001
Q14AE4	10090.ENSMUSP00000099385
Q765I1	10090.ENSMUSP00000070840
P47993	10090.ENSMUSP00000027860
Q8C8N3	10090.ENSMUSP00000105303
E9PXB6	10090.ENSMUSP00000132839
Q64356	10090.ENSMUSP00000017144
P50404	10090.ENSMUSP00000076383
Q99N14	10090.ENSMUSP00000021242
Q9D777	10090.ENSMUSP00000018896
Q99LQ4	10090.ENSMUSP00000095518
P13438	10090.ENSMUSP00000021885
Q80XD8	10090.ENSMUSP00000026540
P01139	10090.ENSMUSP00000102538
Q7M747	10090.ENSMUSP00000052456
Q99JR5	10090.ENSMUSP00000101620
Q08423	10090.ENSMUSP00000024831
P47867	10090.ENSMUSP00000034699
P07214	10090.ENSMUSP00000018737
Q91WP6	10090.ENSMUSP00000021506
Q2TJ95	10090.ENSMUSP00000090287
P62810	10090.ENSMUSP00000001009
P97352	10090.ENSMUSP00000047737
Q9JI02	10090.ENSMUSP00000137484
Q9JHY3	10090.ENSMUSP00000050836
Q9EQ09	10090.ENSMUSP00000032265
P48759	10090.ENSMUSP00000029421
P40224	10090.ENSMUSP00000072800
Q7TPG8	10090.ENSMUSP00000074589
Q8VHK8	10090.ENSMUSP00000031175
Q62381	10090.ENSMUSP00000070560
Q9JLL3	10090.ENSMUSP00000106865
Q9WVM6	10090.ENSMUSP00000025986
Q8R054	10090.ENSMUSP00000108929
Q99ML8	10090.ENSMUSP00000060405
Q80UB0	10090.ENSMUSP00000089157
P16043	10090.ENSMUSP00000029172
O54907	10090.ENSMUSP00000137972
P50586	10090.ENSMUSP00000033341
Q8R0S6	10090.ENSMUSP00000093141
Q8CG65	10090.ENSMUSP00000131401
O88393	10090.ENSMUSP00000031224
O35468	10090.ENSMUSP00000018630
P35918	10090.ENSMUSP00000109144
Q7TPG6	10090.ENSMUSP00000123514
P10639	10090.ENSMUSP00000030051
O35988	10090.ENSMUSP00000017153
Q810C1	10090.ENSMUSP00000097897
Q91W27	10090.ENSMUSP00000041047
Q8R121	10090.ENSMUSP00000048357
Q9DCT5	10090.ENSMUSP00000002133
Q99KW9	10090.ENSMUSP00000034140
P0DP59	10090.ENSMUSP00000051457
P01173	10090.ENSMUSP00000099974
O09049	10090.ENSMUSP00000032089
P51885	10090.ENSMUSP00000040877
Q9Z0Y2	10090.ENSMUSP00000031495
