Identifier	gene_name	GENE_NAME	type	biotypes	description	gc	Cluster
ENSMUSG00000041378	Cldn5	CLDN5	protein_coding	protein_coding	claudin_5_[Source:MGI_Symbol;Acc:MGI:1276112]	0.6054	red
ENSMUSG00000025608	Podxl	PODXL	protein_coding	protein_coding	podocalyxin-like_[Source:MGI_Symbol;Acc:MGI:1351317]	0.5099	red
ENSMUSG00000026566	Mpzl1	MPZL1	protein_coding	protein_coding	myelin_protein_zero-like_1_[Source:MGI_Symbol;Acc:MGI:1915731]	0.5093	red
ENSMUSG00000050953	Gja1	GJA1	protein_coding	protein_coding	"gap_junction_protein,_alpha_1_[Source:MGI_Symbol;Acc:MGI:95713]"	0.4881	cyan
ENSMUSG00000030235	Slco1c1	SLCO1C1	protein_coding	protein_coding	"solute_carrier_organic_anion_transporter_family,_member_1c1_[Source:MGI_Symbol;Acc:MGI:1889679]"	0.4346	red
ENSMUSG00000068748	Ptprz1	PTPRZ1	protein_coding	protein_coding	"protein_tyrosine_phosphatase,_receptor_type_Z,_polypeptide_1_[Source:MGI_Symbol;Acc:MGI:97816]"	0.4003	green
ENSMUSG00000046240	Hepacam	HEPACAM	protein_coding	protein_coding	hepatocyte_cell_adhesion_molecule_[Source:MGI_Symbol;Acc:MGI:1920177]	0.5648	red
ENSMUSG00000026674	Ddr2	DDR2	protein_coding	protein_coding	"discoidin_domain_receptor_family,_member_2_[Source:MGI_Symbol;Acc:MGI:1345277]"	0.4754	red
ENSMUSG00000057751	Megf6	MEGF6	protein_coding	protein_coding	multiple_EGF-like-domains_6_[Source:MGI_Symbol;Acc:MGI:1919351]	0.6033	red
ENSMUSG00000037624	Kcnk2	KCNK2	protein_coding	protein_coding	"potassium_channel,_subfamily_K,_member_2_[Source:MGI_Symbol;Acc:MGI:109366]"	0.5094	cyan
ENSMUSG00000036564	Ndrg4	NDRG4	protein_coding	protein_coding	N-myc_downstream_regulated_gene_4_[Source:MGI_Symbol;Acc:MGI:2384590]	0.5611	green
ENSMUSG00000061740	Cyp2d22	CYP2D22	protein_coding	protein_coding	"cytochrome_P450,_family_2,_subfamily_d,_polypeptide_22_[Source:MGI_Symbol;Acc:MGI:1929474]"	0.5272	red
ENSMUSG00000021624	Cd180	CD180	protein_coding	protein_coding	CD180_antigen_[Source:MGI_Symbol;Acc:MGI:1194924]	0.4646	blue
ENSMUSG00000029648	Flt1	FLT1	protein_coding	protein_coding	FMS-like_tyrosine_kinase_1_[Source:MGI_Symbol;Acc:MGI:95558]	0.5018	red
ENSMUSG00000022037	Clu	CLU	protein_coding	protein_coding	clusterin_[Source:MGI_Symbol;Acc:MGI:88423]	0.541	green
ENSMUSG00000031239	Itm2a	ITM2A	protein_coding	protein_coding	integral_membrane_protein_2A_[Source:MGI_Symbol;Acc:MGI:107706]	0.4169	red
ENSMUSG00000051497	Kcnj16	KCNJ16	protein_coding	protein_coding	"potassium_inwardly-rectifying_channel,_subfamily_J,_member_16_[Source:MGI_Symbol;Acc:MGI:1314842]"	0.4288	cyan
ENSMUSG00000032902	Slc16a1	SLC16A1	protein_coding	protein_coding	"solute_carrier_family_16_(monocarboxylic_acid_transporters),_member_1_[Source:MGI_Symbol;Acc:MGI:106013]"	0.4291	green
ENSMUSG00000022018	Rgcc	RGCC	protein_coding	protein_coding	regulator_of_cell_cycle_[Source:MGI_Symbol;Acc:MGI:1913464]	0.5425	green
ENSMUSG00000044258	Ctla2a	CTLA2A	protein_coding	protein_coding	cytotoxic_T_lymphocyte-associated_protein_2_alpha_[Source:MGI_Symbol;Acc:MGI:88554]	0.4515	red
ENSMUSG00000079227	Ccr5	CCR5	protein_coding	protein_coding	chemokine_(C-C_motif)_receptor_5_[Source:MGI_Symbol;Acc:MGI:107182]	0.4124	blue
ENSMUSG00000005360	Slc1a3	SLC1A3	protein_coding	protein_coding	"solute_carrier_family_1_(glial_high_affinity_glutamate_transporter),_member_3_[Source:MGI_Symbol;Acc:MGI:99917]"	0.4603	green
ENSMUSG00000020182	Ddc	DDC	protein_coding	protein_coding	dopa_decarboxylase_[Source:MGI_Symbol;Acc:MGI:94876]	0.4879	red
ENSMUSG00000058297	Spock2	SPOCK2	protein_coding	protein_coding	"sparc/osteonectin,_cwcv_and_kazal-like_domains_proteoglycan_2_[Source:MGI_Symbol;Acc:MGI:1891351]"	0.5677	green
ENSMUSG00000026728	Vim	VIM	protein_coding	protein_coding	vimentin_[Source:MGI_Symbol;Acc:MGI:98932]	0.5432	cyan
ENSMUSG00000007872	Id3	ID3	protein_coding	protein_coding	inhibitor_of_DNA_binding_3_[Source:MGI_Symbol;Acc:MGI:96398]	0.5535	red
ENSMUSG00000006205	Htra1	HTRA1	protein_coding	protein_coding	HtrA_serine_peptidase_1_[Source:MGI_Symbol;Acc:MGI:1929076]	0.5262	red
ENSMUSG00000029778	Adcyap1r1	ADCYAP1R1	protein_coding	protein_coding	adenylate_cyclase_activating_polypeptide_1_receptor_1_[Source:MGI_Symbol;Acc:MGI:108449]	0.5599	green
ENSMUSG00000033777	Tlr13	TLR13	protein_coding	protein_coding	toll-like_receptor_13_[Source:MGI_Symbol;Acc:MGI:3045213]	0.4113	blue
ENSMUSG00000008999	Bmp7	BMP7	protein_coding	protein_coding	bone_morphogenetic_protein_7_[Source:MGI_Symbol;Acc:MGI:103302]	0.5688	red
ENSMUSG00000002341	Ncan	NCAN	protein_coding	protein_coding	neurocan_[Source:MGI_Symbol;Acc:MGI:104694]	0.5507	green
ENSMUSG00000060548	Tnfrsf19	TNFRSF19	protein_coding	protein_coding	"tumor_necrosis_factor_receptor_superfamily,_member_19_[Source:MGI_Symbol;Acc:MGI:1352474]"	0.5278	green
ENSMUSG00000029121	Crmp1	CRMP1	protein_coding	protein_coding	collapsin_response_mediator_protein_1_[Source:MGI_Symbol;Acc:MGI:107793]	0.5512	cyan
ENSMUSG00000021666	Gfm2	GFM2	protein_coding	protein_coding	"G_elongation_factor,_mitochondrial_2_[Source:MGI_Symbol;Acc:MGI:2444783]"	0.4789	blue
ENSMUSG00000046245	Pilra	PILRA	protein_coding	protein_coding	paired_immunoglobin-like_type_2_receptor_alpha_[Source:MGI_Symbol;Acc:MGI:2450529]	0.5176	blue
ENSMUSG00000038811	Gngt2	GNGT2	protein_coding	protein_coding	"guanine_nucleotide_binding_protein_(G_protein),_gamma_transducing_activity_polypeptide_2_[Source:MGI_Symbol;Acc:MGI:893584]"	0.5234	blue
ENSMUSG00000048503	Tmem136	TMEM136	protein_coding	protein_coding	transmembrane_protein_136_[Source:MGI_Symbol;Acc:MGI:2685030]	0.5107	cyan
ENSMUSG00000021186	Fbln5	FBLN5	protein_coding	protein_coding	fibulin_5_[Source:MGI_Symbol;Acc:MGI:1346091]	0.4782	red
ENSMUSG00000036256	Igfbp7	IGFBP7	protein_coding	protein_coding	insulin-like_growth_factor_binding_protein_7_[Source:MGI_Symbol;Acc:MGI:1352480]	0.5898	red
ENSMUSG00000020591	Ntsr2	NTSR2	protein_coding	protein_coding	neurotensin_receptor_2_[Source:MGI_Symbol;Acc:MGI:108018]	0.602	cyan
ENSMUSG00000038642	Ctss	CTSS	protein_coding	protein_coding	cathepsin_S_[Source:MGI_Symbol;Acc:MGI:107341]	0.4594	blue
ENSMUSG00000022212	Cpne6	CPNE6	protein_coding	protein_coding	copine_VI_[Source:MGI_Symbol;Acc:MGI:1334445]	0.5666	cyan
ENSMUSG00000060063	Alox5ap	ALOX5AP	protein_coding	protein_coding	arachidonate_5-lipoxygenase_activating_protein_[Source:MGI_Symbol;Acc:MGI:107505]	0.5237	blue
ENSMUSG00000032125	Robo4	ROBO4	protein_coding	protein_coding	roundabout_guidance_receptor_4_[Source:MGI_Symbol;Acc:MGI:1921394]	0.5625	red
ENSMUSG00000022246	Rai14	RAI14	protein_coding	protein_coding	retinoic_acid_induced_14_[Source:MGI_Symbol;Acc:MGI:1922896]	0.4736	red
ENSMUSG00000040055	Gjb6	GJB6	protein_coding	protein_coding	"gap_junction_protein,_beta_6_[Source:MGI_Symbol;Acc:MGI:107588]"	0.5005	red
ENSMUSG00000041445	Mmrn2	MMRN2	protein_coding	protein_coding	multimerin_2_[Source:MGI_Symbol;Acc:MGI:2385618]	0.5349	red
ENSMUSG00000060961	Slc4a4	SLC4A4	protein_coding	protein_coding	"solute_carrier_family_4_(anion_exchanger),_member_4_[Source:MGI_Symbol;Acc:MGI:1927555]"	0.4902	cyan
ENSMUSG00000051504	Siglech	SIGLECH	protein_coding	protein_coding	sialic_acid_binding_Ig-like_lectin_H_[Source:MGI_Symbol;Acc:MGI:2443256]	0.4881	blue
ENSMUSG00000024679	Ms4a6d	MS4A6D	protein_coding	protein_coding	"membrane-spanning_4-domains,_subfamily_A,_member_6D_[Source:MGI_Symbol;Acc:MGI:1916024]"	0.4586	blue
